Datum,Změna nevyjíždějících klouzavý průměr 30,Změna Google obytné budovy klouzavý průměr 30
18. 9. 2020,-0.13,0
19. 9. 2020,-0.11,0
20. 9. 2020,-0.1,0
21. 9. 2020,-0.1,0
22. 9. 2020,-0.09,0.01
23. 9. 2020,-0.08,0.01
24. 9. 2020,-0.08,0.01
25. 9. 2020,-0.08,0.01
26. 9. 2020,-0.08,0.01
27. 9. 2020,-0.07,0.02
28. 9. 2020,-0.07,0.02
29. 9. 2020,-0.06,0.03
30. 9. 2020,-0.06,0.03
1. 10. 2020,-0.06,0.04
2. 10. 2020,-0.07,0.04
3. 10. 2020,-0.07,0.04
4. 10. 2020,-0.06,0.04
5. 10. 2020,-0.04,0.05
6. 10. 2020,-0.03,0.05
7. 10. 2020,-0.03,0.05
8. 10. 2020,-0.05,0.05
9. 10. 2020,-0.05,0.05
10. 10. 2020,-0.05,0.05
11. 10. 2020,-0.05,0.05
12. 10. 2020,-0.05,0.06
13. 10. 2020,-0.07,0.05
14. 10. 2020,-0.07,0.05
15. 10. 2020,-0.07,0.05
16. 10. 2020,-0.07,0.05
19. 10. 2020,-0.07,0.05
20. 10. 2020,-0.06,0.06
21. 10. 2020,-0.05,0.07
22. 10. 2020,-0.06,0.07
23. 10. 2020,-0.05,0.07
24. 10. 2020,-0.06,0.08
25. 10. 2020,-0.06,0.08
26. 10. 2020,-0.06,0.09
